Dish,Total_Orders,MPV,MQV,LRV,LEV,Total_Material_Variance,Total_Labor_Variance,Grand_Total_Variance
Chicken Momos,2204,-65.94997769999988,122.74950000000015,-9.493392986499966,-361.11503250000004,56.79952230000028,-370.6084254865,-313.8089031864997
Chow Mein (Chicken),1365,-38.56596908000013,88.71744000000004,0.24536709800000134,50.138932499999974,50.15147091999991,50.38429959799998,100.53577051799988
Lamb Sekuwa,774,-42.11679716999999,66.40789999999991,0.027873053833324724,36.68048083333339,24.29110282999992,36.708353887166716,60.99945671716664
Veg Thukpa,1038,-24.547203310000057,55.63572000000004,2.0033974319999985,0.3471075000000292,31.088516689999985,2.3505049320000277,33.43902162200001
